Planilha Ofícios Enviados;;;;;;;
;;;;;;;
Nº do Ofício;Destinatário;Solicitação;Status;Previsão;;;
1;Sec. Saúde;realização de estudos epidemiológicos – Presídio;atendido;;;;
2;RH;Informação – colaboradores que fazem controle de ponto;ok;;;;
3;Sec. Saúde;liberação do acesso ao sistema Sonner – UBS Ipê;não;;;;
5;Sec. Desenv. Soc. e Sec. Infra;praça céu – Moriá;atendido;;;;
6;Sec. Desenv. Soc. e Sec. Infra;praça céu – Moriá – escoamento de água;não;;;;
7;Sec. Desenv. Social;equipes e estruturas a equipe Anti Drogas e o Banco de Alimentos.;não;;;;
8;Sec. Saúde;Vigilância Sanitária para acompanhar – Presídio;não;;;;
10;Sec. Serviços Urbanos;limpeza no terreno - Rua Vinicius Mayer Chaves, São Sebastião;não;;;;
13;Sec. Serviços Urbanos;limpeza no terreno - Rua João Rodrigues da Cunha;não;;;;
14;Sec. Serviços Urbanos;limpeza no terreno – Praça da Constituição;não;;;;
16;Sec. Serviços Urbanos;Poda de Árvore – Pç da constituição e rua dr. Adalcino de Amorim;não;;;;
17;Coord. Zoonoses;visita dos agentes de combate a dengue;atendido;;;;
18;FAMEP;liberação de um ônibus;atendido;;;;
19;FAEC;liberação de um ônibus;atendido;;;;
20;Sind. Rural;Entrada Solidária – EXPO;atendido;;;;
21;RH;Informação – colaboradores que fazem controle de ponto;ok;;;;
22;Sec. Fazenda;informações relativas à gestão orçamentária e financeira do município;não;;;;
23;Sec. Infraestrutura;manutenção na via pública -  Avenida Santos Dumont - Avenida Cel. Teodolino Pereira Araújo;atendido;;;;
24;Procon;Esclarecimentos – show da dupla Maiara e Maraisa;ok;;;;
25;FAEC;liberação de um ônibus;;;;;
26;FAMEP;liberação de um ônibus;;;;;
27;Sec. Serviços Urbanos;supressão árboreos - Rua Leopoldo Fernandes, nº 108, Bairro Paraíso;não;;;;
28;Sec. Meio Ambiente;supressão árboreos - Rua Leopoldo Fernandes, nº 108, Bairro Paraíso;não;;;;
29;Sec. Serviços Urbanos;manutenção e poda na Pç – Bela Suiça;atendido;;;;
30;SAE;Desobstrução esgoto – Amanhece;Atendido;;;;
31;Sec. Infraestrutura;Notificação DER – Rodovia Indianôpolis -  LMG 748;não;;;;
